Beds,Confirmed,Date,Deaths,ICU,People_Tested,Region,TestPositivity,Ventilator
,,2020-03-04,,,,Region: Northeast,0.0769,
,,2020-03-05,,,,Region: Central,0.1,
,,2020-03-06,,,,Region: Northeast,0.0333,
,,2020-03-07,,,,Region: Northeast,0.0135,
,,2020-03-08,,,,Region: Northeast,0.0392,
,,2020-03-09,,,,Region: Northeast,0.1455,
,,2020-03-10,,,,Region: Northeast,0.1232,
,,2020-03-10,,,,Region: North Central,0.2,
,,2020-03-11,,,,Region: Northeast,0.15,
,,2020-03-12,,,,Region: Northeast,0.0924,
,,2020-03-13,,,,Region: Northeast,0.0949,
,,2020-03-13,,,,Region: Central,0.1111,
,,2020-03-14,,,,Region: Northeast,0.1118,
,,2020-03-14,,,,Region: North Central,0.12,
,,2020-03-14,,,,Region: Central,0.15,
,,2020-03-14,,,,Region: Southern,0.129,
,,2020-03-15,,,,Region: Central,0.1667,
,,2020-03-15,,,,Region: Northeast,0.0985,
,,2020-03-15,,,,Region: North Central,0.1429,
,,2020-03-16,,,,Region: Northeast,0.0599,
,,2020-03-16,,,,Region: North Central,0.1667,
,,2020-03-16,,,,Region: Southern,0.1429,
,0.0,2020-03-17,0.0,,0.0,Hancock,,
,0.0,2020-03-17,0.0,,0.0,Effingham,,
,0.0,2020-03-17,0.0,,0.0,Fayette,,
,0.0,2020-03-17,0.0,,0.0,Ford,,
,0.0,2020-03-17,0.0,,0.0,Franklin,,
,0.0,2020-03-17,0.0,,0.0,Fulton,,
,0.0,2020-03-17,0.0,,0.0,Gallatin,,
,0.0,2020-03-17,0.0,,0.0,Greene,,
,0.0,2020-03-17,0.0,,0.0,Grundy,,
,0.0,2020-03-17,0.0,,0.0,Hamilton,,
,0.0,2020-03-17,0.0,,0.0,Hardin,,
,0.0,2020-03-17,0.0,,0.0,Johnson,,
,0.0,2020-03-17,0.0,,0.0,Henry,,
,0.0,2020-03-17,0.0,,0.0,Iroquois,,
,0.0,2020-03-17,0.0,,0.0,Jackson,,
,0.0,2020-03-17,0.0,,0.0,Jasper,,
,0.0,2020-03-17,0.0,,0.0,Jefferson,,
,0.0,2020-03-17,0.0,,0.0,Jersey,,
,0.0,2020-03-17,0.0,,0.0,Jo Daviess,,
,0.0,2020-03-17,0.0,,0.0,Edwards,,
,3.0,2020-03-17,0.0,,0.0,Kane,,
,0.0,2020-03-17,0.0,,0.0,Kankakee,,
,0.0,2020-03-17,0.0,,0.0,Henderson,,
,0.0,2020-03-17,0.0,,0.0,Edgar,,
,2.0,2020-03-17,0.0,,0.0,Clinton,,
,0.0,2020-03-17,0.0,,0.0,Douglas,,
,160.0,2020-03-17,0.0,,0.0,Illinois,,
